timestamp,(HealthService)/Database Cache Misses/sec,(HealthService)/Database Cache % Hit,(HealthService)/Database Cache Requests/sec,(HealthService)/Database Page Faults/sec,(HealthService)/Database Page Evictions/sec,(HealthService)/Database Page Fault Stalls/sec,(HealthService)/Database Cache Size (MB),(HealthService)/Database Cache Size,(HealthService)/Database Cache Size Resident,(HealthService)/Database Cache Size Resident (MB)
08/02/2023 21:37:10.119,0,100,4.6489639425871774,0,0,0,0,679936,679936,0
08/02/2023 21:38:10.132,0,100,4.6822977719480079,0,0,0,0,679936,679936,0
08/02/2023 21:39:10.145,0,100,4.6489596522332413,0,0,0,0,679936,679936,0
08/02/2023 21:40:10.159,0,100,4.6489608695459745,0,0,0,0,679936,679936,0
08/02/2023 21:41:10.172,0.033326079722489181,99.288256227758012,4.6823142010097305,0.033326079722489181,0.033326079722489181,0,0,679936,679936,0
08/02/2023 21:42:10.185,0,100,4.6489705539677608,0,0,0,0,679936,679936,0
08/02/2023 21:43:10.198,0,100,4.6489687469273377,0,0,0,0,679936,679936,0
08/02/2023 21:44:10.211,0,100,4.6489499299850907,0,0,0,0,679936,679936,0
08/02/2023 21:45:10.225,0,100,4.6489855784271121,0,0,0,0,679936,679936,0
08/02/2023 21:46:10.238,0,100,4.6822956468041665,0,0,0,0,679936,679936,0
08/02/2023 21:47:10.251,0,100,4.6489731887867043,0,0,0,0,679936,679936,0
08/02/2023 21:48:10.264,0,100,4.6822899906614968,0,0,0,0,679936,679936,0
08/02/2023 21:49:10.277,0,100,4.6489691959821622,0,0,0,0,679936,679936,0
08/02/2023 21:50:10.291,0,100,4.6489676756884695,0,0,0,0,679936,679936,0
08/02/2023 21:51:10.304,0,100,4.6489574232000228,0,0,0,0,679936,679936,0
08/02/2023 21:52:10.317,0,100,4.648970543147156,0,0,0,0,679936,679936,0
08/02/2023 21:53:10.330,0,100,4.6483318040109074,0,0,0,0,679936,679936,0
08/02/2023 21:54:10.343,0,100,4.6496184035550598,0,0,0,0,679936,679936,0
08/02/2023 21:55:10.357,0,100,4.6489588893842537,0,0,0,0,679936,679936,0
08/02/2023 21:56:10.370,0,100,4.6823060382309878,0,0,0,0,679936,679936,0
08/02/2023 21:57:10.383,0,100,4.6489525106780478,0,0,0,0,679936,679936,0
08/02/2023 21:58:10.396,0,100,4.6823089862005345,0,0,0,0,679936,679936,0
08/02/2023 21:59:10.409,0,100,4.6489719444159894,0,0,0,0,679936,679936,0
08/02/2023 22:00:10.423,0,100,4.6485624798319289,0,0,0,0,679936,679936,0
08/02/2023 22:01:10.436,0,100,4.6493621630257849,0,0,0,0,679936,679936,0
08/02/2023 22:02:10.449,0,100,4.6489847073628985,0,0,0,0,679936,679936,0
08/02/2023 22:03:10.462,0,100,4.6656265808650481,0,0,0,0,679936,679936,0
08/02/2023 22:04:10.475,0,100,4.648949205011065,0,0,0,0,679936,679936,0
08/02/2023 22:05:10.489,0,100,4.648990729074348,0,0,0,0,679936,679936,0
08/02/2023 22:06:10.502,0,100,4.6822992595498452,0,0,0,0,679936,679936,0
08/02/2023 22:07:10.515,0,100,4.6489694610868586,0,0,0,0,679936,679936,0
08/02/2023 22:08:10.528,0,100,4.6822845306985865,0,0,0,0,679936,679936,0
08/02/2023 22:09:10.541,0,100,4.6489778741189367,0,0,0,0,679936,679936,0
08/02/2023 22:10:10.555,0,100,4.648971506181244,0,0,0,0,679936,679936,0
08/02/2023 22:11:10.568,0,100,4.6489579425862129,0,0,0,0,679936,679936,0
08/02/2023 22:12:10.581,0,100,4.6489793619573598,0,0,0,0,679936,679936,0
08/02/2023 22:13:10.594,0,100,4.6489512446773711,0,0,0,0,679936,679936,0
08/02/2023 22:14:10.607,0,100,4.6489830896730835,0,0,0,0,679936,679936,0
08/02/2023 22:15:10.621,0,100,4.6489752014224877,0,0,0,0,679936,679936,0
08/02/2023 22:16:10.634,0,100,4.6822925735226395,0,0,0,0,679936,679936,0
08/02/2023 22:17:10.647,0,100,4.6489685142845119,0,0,0,0,679936,679936,0
08/02/2023 22:18:10.660,0,100,4.6822903394020754,0,0,0,0,679936,679936,0
08/02/2023 22:19:10.673,0,100,4.6489714196163661,0,0,0,0,679936,679936,0
08/02/2023 22:20:10.687,0,100,4.6489624060660679,0,0,0,0,679936,679936,0
08/02/2023 22:21:10.700,0,100,4.6489778903498955,0,0,0,0,679936,679936,0
08/02/2023 22:22:10.713,0,100,4.6489454286574823,0,0,0,0,679936,679936,0
08/02/2023 22:23:10.726,0,100,4.6481325842148715,0,0,0,0,679936,679936,0
08/02/2023 22:24:10.739,0,100,4.6498288729905184,0,0,0,0,679936,679936,0
08/02/2023 22:25:10.753,0,100,4.6489596792846291,0,0,0,0,679936,679936,0
08/02/2023 22:26:10.766,0.3499214405530115,94.488188976377955,6.3485747071760654,0.46656192073734865,0.38324729203425068,0,0,679936,679936,0
08/02/2023 22:27:10.779,0.23328281732758602,95,4.6656563465517209,0.23328281732758602,0.01666305838054186,0,0,679936,679936,0
08/02/2023 22:28:10.792,0.26660744727692148,94.326241134751783,4.6989562582557411,0.26660744727692148,0.24994448182211387,0,0,688128,688128,0
08/02/2023 22:29:10.805,0.38324743252678573,93.447293447293447,5.8486890789957302,0.49988795546972048,0.21661811403687889,0.16662931848990684,0,712704,712704,0
